,학교구분,학교코드,학교명,본분교,학제,지역,설립구분,관련법령,법인명,학교상태,중문학교명,영문학교명,주소,영문주소,중문주소,우편번호,학교개교일,학교홈페이지,총장(대학원장)명,"학교대표
번호","학교대표
팩스번호",재학생_전체_계,재학생_전체_남,재학생_전체_여,보유면적,시,구,동,지번주소
10,대학,69,고려대학교,본교,대학교,서울,사립,고등교육법,고려중앙학원,기존,高丽大学,Korea University,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스(인문사회계)) ","145, Anam-ro, Seongbuk-gu, Seoul, Republic of Korea","145, Anam-ro, Seongbuk-gu, Seoul, Republic of Korea",2841.0,1905-05-05,www.korea.ac.kr,정진택,02-3290-1114,02-928-9102,20373,10728,9645,881440.0,서울특별시,성북구,안암동5가,서울특별시 성북구 안암동5가
11,대학,74,광운대학교,본교,대학교,서울,사립,고등교육법,광운학원,기존,光云大学,Kwangwoon University,"서울특별시 노원구 광운로 20 (월계동, 광운대학교) ","20, Gwangun-ro, Nowon-gu, Seoul, Republic of Korea","20, Gwangun-ro, Nowon-gu, Seoul, Republic of Korea",1897.0,1934-05-20,www.kw.ac.kr,김종헌,02-940-5026,02-917-0896,8447,5170,3277,75836.0,서울특별시,노원구,월계동,서울특별시 노원구 월계동
12,대학,78,국민대학교,본교,대학교,서울,사립,고등교육법,국민학원,기존,国民大学,Kookmin University,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교) ","77, Jeongneung-ro, Seongbuk-gu, Seoul, Republic of Korea","77, Jeongneung-ro, Seongbuk-gu, Seoul, Republic of Korea",2707.0,1946-09-01,www.kookmin.ac.kr,임홍재,02-910-4114,02-910-4169,14799,7624,7175,191736.0,서울특별시,성북구,정릉동,서울특별시 성북구 정릉동
13,대학,79,강서대학교,본교,대학교,서울,사립,고등교육법,한국그리스도의교회학원,기존,KC大学(韩国基督教大学),Kc University,"서울특별시 강서구 까치산로24길 47 (화곡동, 케이씨대학교) ","47, Kkachisan-ro 24-gil, Gangseo-gu, Seoul, Republic of Korea","47, Kkachisan-ro 24-gil, Gangseo-gu, Seoul, Republic of Korea",7661.0,1958-04-19,kcu.ac.kr,김용재,02-2600-2400,02-2698-8876,1644,720,924,67033.0,서울특별시,강서구,화곡동,서울특별시 강서구 화곡동
14,대학,98,서울기독대학교,본교,대학교,서울,사립,고등교육법,환원학원,기존,首尔基督大学校,Seoul Christian University,"서울특별시 은평구 갈현로4길 26-2 (신사동, 서울기독대학교) ","26-2, Galhyeon-ro 4-gil, Eunpyeong-gu, Seoul, Republic of Korea","26-2, Galhyeon-ro 4-gil, Eunpyeong-gu, Seoul, Republic of Korea",3422.0,1997-12-05,www.scu.ac.kr,이강평,02-380-2500,02-380-2535,413,164,249,7940.0,서울특별시,은평구,신사동,서울특별시 은평구 신사동
15,대학,99,덕성여자대학교,본교,대학교,서울,사립,고등교육법,덕성학원,기존,德成女子大学,Duksung Women'S University,"서울특별시 도봉구 삼양로144길 33 (쌍문동, 덕성여자대학교) ","33, Samyang-ro 144-gil, Dobong-gu, Seoul, Republic of Korea","33, Samyang-ro 144-gil, Dobong-gu, Seoul, Republic of Korea",1369.0,1950-05-17,www.duksung.ac.kr,김건희,02-901-8000,02-908-2251,5385,0,5385,170742.0,서울특별시,도봉구,쌍문동,서울특별시 도봉구 쌍문동
16,대학,100,동국대학교,본교,대학교,서울,사립,고등교육법,동국대학교,기존,东国大学,Dongguk University,"서울특별시 중구 필동로1길 30 (장충동2가, 동국대학교) ","30, Pildong-ro 1-gil, Jung-gu, Seoul, Republic of Korea","30, Pildong-ro 1-gil, Jung-gu, Seoul, Republic of Korea",4620.0,1946-09-20,www.dongguk.edu,윤성이,02-2260-3114,02-2277-1274,12569,6083,6486,169649.0,서울특별시,중구,장충동2가,서울특별시 중구 장충동2가
17,대학,102,동덕여자대학교,본교,대학교,서울,사립,고등교육법,동덕학원,기존,同德女子大学,Dongduk Women's University,"서울특별시 성북구 화랑로13길 60 (하월곡동, 동덕여자대학교) ","60, Hwarang-ro 13-gil, Seongbuk-gu, Seoul, Republic of Korea","60, Hwarang-ro 13-gil, Seongbuk-gu, Seoul, Republic of Korea",2748.0,1950-05-27,www.dongduk.ac.kr,김명애,02-940-4000,02-940-4182,6981,0,6981,54323.0,서울특별시,성북구,하월곡동,서울특별시 성북구 하월곡동
18,대학,111,명지대학교,제2캠퍼스,대학교,서울,사립,고등교육법,명지학원,기존,明知大学校 人文校区,Myongji University Social Science Campus,"서울특별시 서대문구 거북골로 34 (남가좌동, 명지대학교) ","34, Geobukgol-ro, Seodaemun-gu, Seoul, Republic of Korea","34, Geobukgol-ro, Seodaemun-gu, Seoul, Republic of Korea",3674.0,1948-09-07,www.mju.ac.kr,유병진,1577-0020,02-300-1556,7674,3066,4608,55486.0,서울특별시,서대문구,남가좌동,서울특별시 서대문구 남가좌동
19,대학,116,삼육대학교,본교,대학교,서울,사립,고등교육법,삼육학원,기존,三育大学校,Sahmyook University,"서울특별시 노원구 화랑로 815 (공릉동, 삼육대학교) ","815, Hwarang-ro, Nowon-gu, Seoul, Republic of Korea","815, Hwarang-ro, Nowon-gu, Seoul, Republic of Korea",1795.0,1962-02-27,www.syu.ac.kr,김일목,02-3399-3636,02-979-5318,5445,2370,3075,319537.0,서울특별시,노원구,공릉동,서울특별시 노원구 공릉동
20,대학,117,상명대학교,본교,대학교,서울,사립,고등교육법,상명학원,기존,祥明大学,Sangmyung University (Seoul),"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교) ","20, Hongjimun 2-gil, Jongno-gu, Seoul, Republic of Korea","20, Hongjimun 2-gil, Jongno-gu, Seoul, Republic of Korea",3016.0,1965-01-13,www.smu.ac.kr,백웅기,02-2287-5114,02-2287-0015,6322,2910,3412,160005.0,서울특별시,종로구,홍지동,서울특별시 종로구 홍지동
21,대학,120,서강대학교,본교,대학교,서울,사립,고등교육법,서강대학교,기존,西江大学,Sogang University,"서울특별시 마포구 백범로 35 (신수동, 서강대학교) ","35, Baekbeom-ro, Mapo-gu, Seoul, Republic of Korea","35, Baekbeom-ro, Mapo-gu, Seoul, Republic of Korea",4107.0,1960-04-18,www.sogang.ac.kr,심종혁,02-705-8114,02-705-8112,8100,4426,3674,208677.0,서울특별시,마포구,신수동,서울특별시 마포구 신수동
22,대학,121,서경대학교,본교,대학교,서울,사립,고등교육법,서경대학원,기존,西京大学校,Seokyeong University,"서울특별시 성북구 서경로 124 (정릉동, 서경대학교) ","124, Seogyeong-ro, Seongbuk-gu, Seoul, Republic of Korea","124, Seogyeong-ro, Seongbuk-gu, Seoul, Republic of Korea",2713.0,1992-09-01,www.skuniv.ac.kr,최영철,02-940-7114,02-919-0345,6660,2892,3768,53615.0,서울특별시,성북구,정릉동,서울특별시 성북구 정릉동
23,대학,126,서울여자대학교,본교,대학교,서울,사립,고등교육법,정의학원,기존,首尔女子大学,Seoul Women's University,"서울특별시 노원구 화랑로 621 (공릉동, 서울여자대학교) ","621, Hwarang-ro, Nowon-gu, Seoul, Republic of Korea","621, Hwarang-ro, Nowon-gu, Seoul, Republic of Korea",1797.0,1960-12-12,www.swu.ac.kr,승현우,02-970-5114,02-3399-2843,7018,0,7018,225020.0,서울특별시,노원구,공릉동,서울특별시 노원구 공릉동
24,대학,132,성공회대학교,본교,대학교,서울,사립,고등교육법,성공회대학교,기존,圣公会大学,Sungkonghoe University,"서울특별시 구로구 연동로 320 (항동, 성공회대학교) ","320, Yeondong-ro, Guro-gu, Seoul, Republic of Korea","320, Yeondong-ro, Guro-gu, Seoul, Republic of Korea",8359.0,1992-12-23,www.skhu.ac.kr,김기석,02-2610-4114,02-2610-4248,2038,867,1171,39431.0,서울특별시,구로구,항동,서울특별시 구로구 항동
25,대학,133,성균관대학교,본교,대학교,서울,사립,고등교육법,성균관대학,기존,成均馆大学,Sungkyunkwan University,"서울특별시 종로구 성균관로 25-2 (명륜3가, 성균관대학교) ","25-2, Seonggyungwan-ro, Jongno-gu, Seoul, Republic of Korea","25-2, Seonggyungwan-ro, Jongno-gu, Seoul, Republic of Korea",3063.0,1946-09-25,www.skku.edu,신동렬,02-760-0114,02-760-1141,11155,4155,7000,140983.0,서울특별시,종로구,명륜3가,서울특별시 종로구 명륜3가
26,대학,136,성신여자대학교,본교,대학교,서울,사립,고등교육법,성신학원,기존,诚信女子大学,Sungshin Women'S University,"서울특별시 성북구 보문로34다길 2 (돈암동, 성신여자대학교) ","2, Bomun-ro 34da-gil, Seongbuk-gu, Seoul, Republic of Korea","2, Bomun-ro 34da-gil, Seongbuk-gu, Seoul, Republic of Korea",2844.0,1965-01-13,www.sungshin.ac.kr,양보경,02-920-7114,02-920-2018,6587,0,6587,101874.0,서울특별시,성북구,돈암동,서울특별시 성북구 돈암동
27,대학,138,세종대학교,본교,대학교,서울,사립,고등교육법,대양학원,기존,世宗大学,Sejong University,"서울특별시 광진구 능동로 209 (군자동, 세종대학교) ","209, Neungdong-ro, Gwangjin-gu, Seoul, Republic of Korea","209, Neungdong-ro, Gwangjin-gu, Seoul, Republic of Korea",5006.0,1978-10-07,www.sejong.ac.kr,배덕효,02-3408-3114,02-3408-3906,12414,6863,5551,120727.0,서울특별시,광진구,군자동,서울특별시 광진구 군자동
28,대학,141,숙명여자대학교,본교,대학교,서울,사립,고등교육법,숙명학원,기존,淑明女子大学,Sookmyung Women'S University,"서울특별시 용산구 청파로47길 90 (청파동2가, 숙명여자대학교) ","90, Cheongpa-ro 47-gil, Yongsan-gu, Seoul, Republic of Korea","90, Cheongpa-ro 47-gil, Yongsan-gu, Seoul, Republic of Korea",4310.0,1938-12-21,www.sookmyung.ac.kr/,장윤금,02-710-9114,02-2077-7481,10348,0,10348,68334.0,서울특별시,용산구,청파동2가,서울특별시 용산구 청파동2가
29,대학,143,숭실대학교,본교,대학교,서울,사립,고등교육법,숭실대학교,기존,崇实大学,Soongsil University,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교) ","369, Sangdo-ro, Dongjak-gu, Seoul, Republic of Korea","369, Sangdo-ro, Dongjak-gu, Seoul, Republic of Korea",6978.0,1897-10-10,www.ssu.ac.kr,장범식,02-820-0114,02-828-7143,14411,7646,6765,133951.0,서울특별시,동작구,상도동,서울특별시 동작구 상도동
30,대학,149,연세대학교,본교,대학교,서울,사립,고등교육법,연세대학교,기존,延世大学,Yonsei University,"서울특별시 서대문구 연세로 50 (신촌동, 연세대학교) ","50, Yonsei-ro, Seodaemun-gu, Seoul, Republic of Korea","50, Yonsei-ro, Seodaemun-gu, Seoul, Republic of Korea",3722.0,1957-01-05,www.yonsei.ac.kr,서승환,1599-1885,02-2123-8608,14787,7774,7013,828528.0,서울특별시,서대문구,신촌동,서울특별시 서대문구 신촌동
31,대학,163,이화여자대학교,본교,대학교,서울,사립,고등교육법,이화학당,기존,梨花女子大学校,Ewha Womans University,"서울특별시 서대문구 이화여대길 52 (대현동, 이화여자대학교) ","52, Ewhayeodae-gil, Seodaemun-gu, Seoul, Republic of Korea","52, Ewhayeodae-gil, Seodaemun-gu, Seoul, Republic of Korea",3760.0,1946-08-15,www.ewha.ac.kr,김은미,02-3277-2114,02-3277-3301,15503,0,15503,545068.0,서울특별시,서대문구,대현동,서울특별시 서대문구 대현동
32,대학,170,장로회신학대학교,본교,대학교,서울,사립,고등교육법,장로회신학대학교,기존,长老会神学大学校,Presbyterian University & Theological Seminary,"서울특별시 광진구 광장로5길 25-1 (광장동, 장로회신학대학교) ","25-1, Gwangjang-ro 5-gil, Gwangjin-gu, Seoul, Republic of Korea","25-1, Gwangjang-ro 5-gil, Gwangjin-gu, Seoul, Republic of Korea",4965.0,1961-02-02,www.puts.ac.kr,김운용,02-450-0700,02-452-3460,616,314,302,63090.0,서울특별시,광진구,광장동,서울특별시 광진구 광장동
33,대학,175,중앙대학교,본교,대학교,서울,사립,고등교육법,중앙대학교,기존,中央大学,Chung-Ang University,"서울특별시 동작구 흑석로 84 (흑석동, 중앙대학교) ","84, Heukseok-ro, Dongjak-gu, Seoul, Republic of Korea","84, Heukseok-ro, Dongjak-gu, Seoul, Republic of Korea",6974.0,1918-04-01,www.cau.ac.kr,박상규,02-820-5114~6114,02-812-5384,18742,9321,9421,151779.0,서울특별시,동작구,흑석동,서울특별시 동작구 흑석동
34,대학,180,총신대학교,본교,대학교,서울,사립,고등교육법,대한예수교장로회 총신대학교,기존,总神大学,Chongshin University,"서울특별시 동작구 사당로 143 (사당동, 총신대학교) ","143, Sadang-ro, Dongjak-gu, Seoul, Republic of Korea","143, Sadang-ro, Dongjak-gu, Seoul, Republic of Korea",6988.0,1967-06-02,www.chongshin.ac.kr,이재서,02-3479-0200,02-593-6256,1374,578,796,74694.0,서울특별시,동작구,사당동,서울특별시 동작구 사당동
35,대학,181,추계예술대학교,본교,대학교,서울,사립,고등교육법,추계학원,기존,秋溪艺术大学,Chugye University For The Arts,"서울특별시 서대문구 북아현로11가길 7 (북아현동, 추계예술대학교) ","7, Bugahyeon-ro 11ga-gil, Seodaemun-gu, Seoul, Republic of Korea","7, Bugahyeon-ro 11ga-gil, Seodaemun-gu, Seoul, Republic of Korea",3762.0,1996-12-11,www.chugye.ac.kr,임상혁,02-362-5700,02-362-4555,1110,333,777,32681.0,서울특별시,서대문구,북아현동,서울특별시 서대문구 북아현동
36,대학,191,한국성서대학교,본교,대학교,서울,사립,고등교육법,한국복음주의학원,기존,韩国圣书大学校,Korean Bible University,"서울특별시 노원구 동일로214길 32 (상계동, 한국성서대학교) ","32, Dongil-ro 214-gil, Nowon-gu, Seoul, Republic of Korea","32, Dongil-ro 214-gil, Nowon-gu, Seoul, Republic of Korea",1757.0,1996-12-11,www.bible.ac.kr,강우정,02-950-5424,070-4275-0161,1014,393,621,18619.0,서울특별시,노원구,상계동,서울특별시 노원구 상계동
37,대학,192,한국외국어대학교,본교,대학교,서울,사립,고등교육법,동원육영회,기존,韩国外国语大学,Hankuk University Of Foreign Studies,"서울특별시 동대문구 이문로 107 (이문동, 한국외국어대학교) ","107, Imun-ro, Dongdaemun-gu, Seoul, Republic of Korea","107, Imun-ro, Dongdaemun-gu, Seoul, Republic of Korea",2450.0,1954-04-20,www.hufs.ac.kr,박정운,02-2173-2114,02-960-7898,9333,3628,5705,81199.0,서울특별시,동대문구,이문동,서울특별시 동대문구 이문동
38,대학,200,한성대학교,본교,대학교,서울,사립,고등교육법,한성(漢城)학원,기존,汉城大学校,Hansung University,"서울특별시 성북구 삼선교로16길 116 (삼선동2가, 한성대학교) ","116, Samseongyo-ro 16-gil, Seongbuk-gu, Seoul, Republic of Korea","116, Samseongyo-ro 16-gil, Seongbuk-gu, Seoul, Republic of Korea",2876.0,1972-12-21,www.hansung.ac.kr,이창원,02-760-4231,02-745-8943,6942,3377,3565,48726.0,서울특별시,성북구,삼선동2가,서울특별시 성북구 삼선동2가
39,대학,203,한양대학교,본교,대학교,서울,사립,고등교육법,한양학원,기존,汉阳大学,Hanyang University,"서울특별시 성동구 왕십리로 222 (사근동, 한양대학교) ","222, Wangsimni-ro, Seongdong-gu, Seoul, Republic of Korea","222, Wangsimni-ro, Seongdong-gu, Seoul, Republic of Korea",4763.0,1948-07-01,www.hanyang.ac.kr,김우승,02-2220-0114,02-2220-0199,16531,9581,6950,401729.0,서울특별시,성동구,사근동,서울특별시 성동구 사근동
40,대학,205,서울한영대학교,본교,대학교,서울,사립,고등교육법,학교법인 한영신학대학교,기존,首尔韩荣大学,Seoul Hanyoung University,서울특별시 구로구 경인로 290-42 (개봉동) ,"290-42, Gyeongin-ro, Guro-gu, Seoul","290-42, Gyeongin-ro, Guro-gu, Seoul",8274.0,1996-11-11,shyu.ac.kr,한영훈,02-2669-2200,02-2669-2211,623,245,378,18899.0,서울특별시,구로구,개봉동,서울특별시 구로구 개봉동
41,대학,212,홍익대학교,본교,대학교,서울,사립,고등교육법,홍익학원,기존,弘益大学校,Hongik University,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교) ","94, Wausan-ro, Mapo-gu, Seoul, Republic of Korea","94, Wausan-ro, Mapo-gu, Seoul, Republic of Korea",4066.0,1946-04-25,www.hongik.ac.kr/,서종욱,02-320-1114,02-320-1122,12365,6039,6326,112653.0,서울특별시,마포구,상수동,서울특별시 마포구 상수동
42,대학,255,서울교육대학교,본교,교육대학,서울,국립,고등교육법,해당없음,기존,首尔教育大学校,Seoul National University Of Education,"서울특별시 서초구 서초중앙로 96 (서초동, 서울교육대학교) ","96, Seochojungang-ro, Seocho-gu, Seoul, Republic of Korea","96, Seochojungang-ro, Seocho-gu, Seoul, Republic of Korea",6639.0,1946-05-22,www.snue.ac.kr,임채성,02-3475-2114,02-581-7711,1444,403,1041,82662.0,서울특별시,서초구,서초동,서울특별시 서초구 서초동
55,대학,383,한국예술종합학교,본교,각종학교(대학),서울,특별법국립,고등교육법,해당없음,기존,韩国艺术综合学校,Korea National University Of Arts,"서울특별시 성북구 화랑로32길 146-37 (석관동, 한국종합예술학교) ","146-37, Hwarang-ro 32-gil, Seongbuk-gu, Seoul, Republic of Korea","146-37, Hwarang-ro 32-gil, Seongbuk-gu, Seoul, Republic of Korea",2789.0,1992-10-30,Karts.ac.kr/,김대진,02-746-9066,02-746-9069,1797,499,1298,143768.0,서울특별시,성북구,석관동,서울특별시 성북구 석관동
56,전문대학,463,동양미래대학교,본교,전문대학,서울,사립,고등교육법,동양학원,기존,东洋未来大学,Dongyang Mirae University,"서울특별시 구로구 경인로 445 (고척동, 동양미래대학) ","445, Gyeongin-ro, Guro-gu, Seoul, Republic of Korea","445, Gyeongin-ro, Guro-gu, Seoul, Republic of Korea",8221.0,1965-04-21,www.dongyang.ac.kr/,정완섭,02-2610-1700,02-2688-5494,5783,3978,1805,36881.0,서울특별시,구로구,고척동,서울특별시 구로구 고척동
57,전문대학,473,명지전문대학,본교,전문대학,서울,사립,고등교육법,명지학원,기존,明知专业大学,Myongji College,"서울특별시 서대문구 가좌로 134 (홍은동, 명지전문대학) ","134, Gajwa-ro, Seodaemun-gu, Seoul, Republic of Korea","134, Gajwa-ro, Seodaemun-gu, Seoul, Republic of Korea",3656.0,1974-03-09,www.mjc.ac.kr,권두승,02-300-1000,02-304-4832,6622,3254,3368,33500.0,서울특별시,서대문구,홍은동,서울특별시 서대문구 홍은동
58,전문대학,476,배화여자대학교,본교,전문대학,서울,사립,고등교육법,배화학원,기존,培花女子大学校,Baewha Women'S University,"서울특별시 종로구 필운대로1길 34 (필운동, 배화여자대학) ","34, Pirundae-ro 1-gil, Jongno-gu, Seoul, Republic of Korea","34, Pirundae-ro 1-gil, Jongno-gu, Seoul, Republic of Korea",3039.0,1978-03-02,www.baewha.ac.kr,신종석,02-399-0700,02-737-8431,2741,51,2690,23389.0,서울특별시,종로구,필운동,서울특별시 종로구 필운동
59,전문대학,483,삼육보건대학교,본교,전문대학,서울,사립,고등교육법,삼육학원,기존,三育保健大学校,Sahmyook Health University,"서울특별시 동대문구 망우로 82 (휘경동, 삼육보건대학) 삼육보건대학교","82, Mangu-ro, Dongdaemun-gu, Seoul, Republic of Korea","82, Mangu-ro, Dongdaemun-gu, Seoul, Republic of Korea",2500.0,1936-04-01,www.shu.ac.kr,박두한,02-2212-0082,02-2215-2380,1265,222,1043,49710.0,서울특별시,동대문구,휘경동,서울특별시 동대문구 휘경동
60,전문대학,490,서일대학교,본교,전문대학,서울,사립,고등교육법,세방학원,기존,瑞逸大学校,Seoil University,서울특별시 중랑구 용마산로90길 28 (면목동) ,"28, Yongmasan-ro 90-gil, Jungnang-gu, Seoul","28, Yongmasan-ro 90-gil, Jungnang-gu, Seoul",2192.0,1974-12-21,www.seoil.ac.kr,김영철,02-490-7300,02-490-7348,5939,3279,2660,29399.0,서울특별시,중랑구,면목동,서울특별시 중랑구 면목동
61,전문대학,500,숭의여자대학교,본교,전문대학,서울,사립,고등교육법,숭의학원,기존,崇义女子大学,Soongeui Women'S College,"서울특별시 중구 소파로2길 10 (예장동, 숭의여자대학) ","10, Sopa-ro 2-gil, Jung-gu, Seoul, Republic of Korea","10, Sopa-ro 2-gil, Jung-gu, Seoul, Republic of Korea",4628.0,1903-10-31,www.sewc.ac.kr,박성희,02-3708-9052,02-773-2625,3059,0,3059,25724.0,서울특별시,중구,예장동,서울특별시 중구 예장동
62,전문대학,525,인덕대학교,본교,전문대학,서울,사립,고등교육법,인덕학원,기존,仁德大学,Induk University,"서울특별시 노원구 초안산로 12 (월계동, 인덕대학) ","12, Choansan-ro, Nowon-gu, Seoul, Republic of Korea","12, Choansan-ro, Nowon-gu, Seoul, Republic of Korea",1878.0,1971-12-23,www.induk.ac.kr,박홍석,02-950-7000,02-906-5340,5888,3073,2815,76485.0,서울특별시,노원구,월계동,서울특별시 노원구 월계동
63,전문대학,554,한양여자대학교,본교,전문대학,서울,사립,고등교육법,한양학원,기존,汉阳女子大学校 ,Hanyang Women's University,"서울특별시 성동구 살곶이길 200 (사근동, 한양여자대학) ","200, Salgoji-gil, Seongdong-gu, Seoul, Republic of Korea","200, Salgoji-gil, Seongdong-gu, Seoul, Republic of Korea",4763.0,1974-12-20,www.hywoman.ac.kr,나세리,02-2290-2114,02-2290-6111,6998,11,6987,70558.0,서울특별시,성동구,사근동,서울특별시 성동구 사근동
64,전문대학,584,한국폴리텍 I 대학 서울정수캠퍼스,본교,기능대학,서울,사립,근로자직업능력개발법,한국폴리텍,기존,韩国 Polytechnics I 大学 首尔贞水校区,Seoul Jungsu Campus Of Korea PolytechnicⅠ,"서울특별시 용산구 보광로 73 (보광동, 한국폴리텍1대학서울정수캠퍼스) ","73, Bogwang-ro, Yongsan-gu, Seoul, Republic of Korea","73, Bogwang-ro, Yongsan-gu, Seoul, Republic of Korea",4392.0,1973-02-09,www.kopo.ac.kr/jungsu/index.do,이수영,02-2001-4113,02-2001-4119,1158,1015,143,25326.0,서울특별시,용산구,보광동,서울특별시 용산구 보광동
